unit_id,goal_actual,mes_classificado,name,tamanho,condominio,chave,mes,receita_projetada,receita_mensal_real,ocupacao,dias,HOA,Property Management,Utilities,dias_ocupados,adr,revpar,commission_fee_20,despesas_outras_anuais,despesas_anuais,lucro_mensal
345511,3348.0,05.May,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,May,3348.0,3348.0,0.6,31,6000.0,1800.0,8544.0,18.599999999999998,180.00000000000003,108.0,10769.800000000001,16344.0,27113.800000000003,1088.5166666666664
345511,4907.0,06.Jun,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Jun,4907.0,4907.0,0.75,30,6000.0,1800.0,8544.0,22.5,218.0888888888889,163.56666666666666,10769.800000000001,16344.0,27113.800000000003,2647.5166666666664
345511,5437.0,07.Jul,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Jul,5437.0,5437.0,0.8,31,6000.0,1800.0,8544.0,24.8,219.23387096774192,175.38709677419354,10769.800000000001,16344.0,27113.800000000003,3177.5166666666664
345511,4366.0,08.Aug,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Aug,4366.0,4366.0,0.7,31,6000.0,1800.0,8544.0,21.7,201.19815668202764,140.83870967741936,10769.800000000001,16344.0,27113.800000000003,2106.5166666666664
345511,2400.0,09.Sep,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Sep,2400.0,2400.0,0.6,30,6000.0,1800.0,8544.0,18.0,133.33333333333334,80.0,10769.800000000001,16344.0,27113.800000000003,140.51666666666642
345511,3906.0,10.Oct,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Oct,3906.0,3906.0,0.7,31,6000.0,1800.0,8544.0,21.7,180.0,126.0,10769.800000000001,16344.0,27113.800000000003,1646.5166666666664
345511,3818.0,11.Nov,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Nov,3818.0,3818.0,0.7,30,6000.0,1800.0,8544.0,21.0,181.8095238095238,127.26666666666667,10769.800000000001,16344.0,27113.800000000003,1558.5166666666664
345511,5625.0,12.Dec,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Dec,5625.0,5625.0,0.7,31,6000.0,1800.0,8544.0,21.7,259.2165898617512,181.4516129032258,10769.800000000001,16344.0,27113.800000000003,3365.5166666666664
340885,2759.0,01.Jan,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Jan,2759.0,2759.0,0.75,31,6000.0,1800.0,6096.0,23.25,118.66666666666667,89.0,7029.8,13896.0,20925.8,1015.1833333333334
340885,2457.0,02.Feb,1556 PD - Poolside Bliss: Enchanted 4BR Townhome,TH 4,CHAMPIONS GATE,CHAMPIONS GATE TH 4,Feb,2457.0,2457.0,0.75,28,6000.0,1800.0,6096.0,21.0,117.0,87.75,7029.8,13896.0,20925.8,713.1833333333334
